logPriceRatio,rHold,rTime,policyAction
2.0,7.0,4.0,0
-21.0,6.0,4.0,9
2.0,6.0,4.0,7
-21.0,5.0,4.0,1
2.0,5.0,4.0,9
-21.0,4.0,4.0,9
2.0,4.0,4.0,9
1.0,3.0,4.0,2
1.0,2.0,4.0,8
1.0,1.0,4.0,1
1.0,0.0,4.0,5
13.0,10.0,4.0,8
13.0,9.0,4.0,7
-10.0,8.0,4.0,5
13.0,8.0,4.0,3
-10.0,7.0,4.0,7
13.0,7.0,4.0,1
-10.0,6.0,4.0,2
13.0,6.0,4.0,10
-10.0,5.0,4.0,0
13.0,5.0,4.0,3
-10.0,4.0,4.0,8
13.0,4.0,4.0,6
-22.0,3.0,4.0,9
2.0,3.0,4.0,9
13.0,3.0,4.0,4
12.0,2.0,4.0,4
12.0,1.0,4.0,1
12.0,0.0,4.0,2
-57.0,4.0,4.0,6
-57.0,3.0,4.0,8
-33.0,3.0,4.0,0
-31.0,8.0,4.0,4
-44.0,3.0,4.0,6
-9.0,3.0,4.0,5
-44.0,2.0,4.0,7
-33.0,2.0,4.0,2
2.0,2.0,4.0,4
-22.0,2.0,4.0,3
13.0,2.0,4.0,7
2.0,1.0,4.0,8
13.0,1.0,4.0,8
-57.0,2.0,4.0,8
-33.0,1.0,4.0,8
-22.0,0.0,4.0,5
-11.0,0.0,4.0,9
-22.0,1.0,4.0,3
2.0,0.0,4.0,1
13.0,0.0,4.0,4
-57.0,1.0,4.0,9
-57.0,0.0,4.0,10
12.0,3.0,4.0,10
-11.0,1.0,4.0,6
-18.0,10.0,4.0,6
4.0,10.0,4.0,3
-18.0,9.0,4.0,6
-7.0,9.0,4.0,5
4.0,9.0,4.0,9
-19.0,8.0,4.0,4
4.0,7.0,4.0,6
4.0,5.0,4.0,5
-31.0,4.0,4.0,6
3.0,3.0,4.0,7
-8.0,2.0,4.0,7
3.0,2.0,4.0,9
15.0,10.0,4.0,10
15.0,9.0,4.0,10
15.0,8.0,4.0,8
15.0,7.0,4.0,7
15.0,6.0,4.0,0
-8.0,5.0,4.0,5
15.0,5.0,4.0,9
14.0,2.0,4.0,8
14.0,1.0,4.0,10
14.0,0.0,4.0,1
26.0,10.0,4.0,2
26.0,9.0,4.0,5
3.0,8.0,4.0,6
26.0,8.0,4.0,7
26.0,7.0,4.0,10
3.0,6.0,4.0,6
26.0,6.0,4.0,3
26.0,5.0,4.0,0
26.0,4.0,4.0,2
26.0,3.0,4.0,0
25.0,2.0,4.0,9
25.0,1.0,4.0,2
25.0,0.0,4.0,4
-18.0,8.0,4.0,4
26.0,2.0,4.0,0
-44.0,1.0,4.0,5
-44.0,0.0,4.0,0
37.0,10.0,4.0,4
37.0,9.0,4.0,5
14.0,8.0,4.0,8
37.0,8.0,4.0,5
14.0,7.0,4.0,0
37.0,7.0,4.0,10
14.0,6.0,4.0,8
37.0,6.0,4.0,0
14.0,5.0,4.0,6
37.0,5.0,4.0,2
14.0,4.0,4.0,1
37.0,4.0,4.0,9
14.0,3.0,4.0,0
37.0,3.0,4.0,10
37.0,2.0,4.0,4
36.0,1.0,4.0,7
36.0,0.0,4.0,4
37.0,1.0,4.0,5
37.0,0.0,4.0,7
36.0,2.0,4.0,5
48.0,10.0,4.0,9
48.0,9.0,4.0,6
25.0,8.0,4.0,4
48.0,8.0,4.0,0
25.0,7.0,4.0,3
48.0,7.0,4.0,10
25.0,6.0,4.0,4
48.0,6.0,4.0,2
25.0,5.0,4.0,5
48.0,5.0,4.0,2
25.0,4.0,4.0,1
48.0,4.0,4.0,2
25.0,3.0,4.0,8
48.0,3.0,4.0,6
48.0,2.0,4.0,10
47.0,1.0,4.0,8
47.0,0.0,4.0,8
48.0,1.0,4.0,0
48.0,0.0,4.0,0
24.0,0.0,4.0,5
-18.0,7.0,4.0,6
47.0,2.0,4.0,6
-76.0,10.0,2.0,10
-63.0,10.0,2.0,10
-52.0,10.0,2.0,10
-41.0,10.0,2.0,10
-76.0,9.0,2.0,10
-64.0,9.0,2.0,10
-52.0,9.0,2.0,10
-41.0,9.0,2.0,10
-76.0,8.0,2.0,10
-64.0,8.0,2.0,10
-52.0,8.0,2.0,10
-41.0,8.0,2.0,10
-76.0,7.0,2.0,10
-64.0,7.0,2.0,10
-52.0,7.0,2.0,10
-41.0,7.0,2.0,10
-76.0,6.0,2.0,10
-64.0,6.0,2.0,10
-52.0,6.0,2.0,10
-41.0,6.0,2.0,10
-76.0,5.0,2.0,10
-64.0,5.0,2.0,10
-52.0,5.0,2.0,10
-41.0,5.0,2.0,10
-77.0,4.0,2.0,10
-64.0,4.0,2.0,10
-53.0,4.0,2.0,10
-42.0,4.0,2.0,10
-77.0,3.0,2.0,10
-64.0,3.0,2.0,10
-53.0,3.0,2.0,10
-42.0,3.0,2.0,10
-77.0,2.0,2.0,10
-64.0,2.0,2.0,10
-53.0,2.0,2.0,10
-42.0,2.0,2.0,10
-77.0,1.0,2.0,10
-65.0,1.0,2.0,10
-53.0,1.0,2.0,10
-42.0,1.0,2.0,10
-77.0,0.0,2.0,10
-65.0,0.0,2.0,10
-53.0,0.0,2.0,10
-42.0,0.0,2.0,10
-50.0,10.0,2.0,10
-39.0,10.0,2.0,10
-28.0,10.0,2.0,10
-63.0,9.0,2.0,10
-51.0,9.0,2.0,10
-39.0,9.0,2.0,10
-28.0,9.0,2.0,10
-63.0,8.0,2.0,10
-51.0,8.0,2.0,10
-39.0,8.0,2.0,10
-28.0,8.0,2.0,10
-63.0,7.0,2.0,10
-51.0,7.0,2.0,10
-39.0,7.0,2.0,10
-28.0,7.0,2.0,10
-63.0,6.0,2.0,10
-51.0,6.0,2.0,10
-39.0,6.0,2.0,10
-28.0,6.0,2.0,10
-63.0,5.0,2.0,10
-51.0,5.0,2.0,10
